Snapchat
Uber
Dropbox
Lyft
Tinder
HotelTonight
Buzzfeed
Facebook
Twitter
Yelp
Craigslist
Spotify
YouTube
ChatRoulette
Pandora
Groupon
AirBnB
Instagram
Grindr
Pinterest
WebMD
Twitch
Tumblr
Bitcoin
Google
Wikipedia
